[15:00:01.931] base=198 steer=-24 L=222 R=174
[15:00:01.998] base=198 steer=-35 L=233 R=163
[15:00:02.304] base=199 steer=0 L=199 R=199
[15:00:02.534] base=198 steer=41 L=157 R=239
[15:00:02.609] base=198 steer=61 L=137 R=255
[15:00:02.686] base=198 steer=70 L=128 R=255
[15:00:02.761] base=198 steer=80 L=118 R=255
[15:00:03.216] base=0 steer=0 L=0 R=0
[15:00:03.369] base=-144 steer=80 L=-224 R=-64
[15:00:03.600] base=-200 steer=0 L=-200 R=-200
[15:00:03.681] base=-200 steer=-77 L=-123 R=-255
[15:00:03.761] base=-199 steer=-78 L=-121 R=-255
[15:00:04.064] base=0 steer=0 L=0 R=0
[15:00:04.214] base=55 steer=-78 L=133 R=-23
[15:00:04.672] base=199 steer=-71 L=255 R=128
[15:00:04.750] base=199 steer=-13 L=212 R=186
[15:00:04.826] base=199 steer=0 L=199 R=199
[15:00:04.900] base=198 steer=41 L=157 R=239
[15:00:04.978] base=198 steer=65 L=133 R=255
[15:00:05.053] base=198 steer=80 L=118 R=255
[15:00:05.204] base=0 steer=0 L=0 R=0
[15:00:05.285] base=-199 steer=80 L=-255 R=-119
[15:00:05.440] base=-199 steer=0 L=-199 R=-199
[15:00:08.329] base=0 steer=120 L=-120 R=120
[15:00:08.556] base=0 steer=0 L=0 R=0
[15:00:08.921] base=0 steer=120 L=-120 R=120
[15:00:09.528] base=0 steer=0 L=0 R=0
[15:00:10.254] base=0 steer=120 L=-120 R=120
[15:00:14.127] base=0 steer=0 L=0 R=0
